statement,truth
"""In the eight years that I was mayor, (there was a) nearly 50 percent drop in violent crime, gang crime  -  crime went down because we grew our police department, we focused on constitutional community policing, we did some of the most innovative prevention, intervention, job re-entry programs in the nation.""",4
"Says she debated her opponent ""multiple times.""",3
"""We’re the highest developed nation taxed in the world.""",1
"""The cost-sharing reductions (were) a gift (that) they gave the insurance companies.""",2
"""Hillary (Clinton) caught on tape laughing about (Hurricane) Irma ’wiping out all of those Florida hillbillies’.""",0
"""Job creation fell by 70 percent in Wisconsin in 2016"" under Scott Walker.",4
"""San Juan city council votes unanimously to impeach Trump-hating mayor.""",0
"Says Stacey Evans ""voted for (school) vouchers...in the beginning.""",3
"""State government spending is at an all-time high. The state is on track to spend more in this fiscal year  -  more than $17.9 billion  -  than at any time in state history.""",2
"""Our tax code has nearly doubled since 1985.""",5
"""The president early on called on NATO member countries to step up their contributions ... and as a result of that countries have stepped up contributions toward their own defense.""",3
"Says he got ""support all over Raleigh""",3
"""There is a real law in Texas that says it’s illegal to own more than six dildos.""",4
"""A California health care CEO is promising to reduce our prescription drug costs.""",2
"An Ohio ballot issue would address the fact that ""we’ve gone from paying about $100 for Epipens to over $600 ... We don’t have a choice but to pay it and the drug companies know it.""",2
"The Republican tax reform proposal is focused on tax breaks for the middle class ""and not about people who are really high-income earners getting a tax break.""",2
"The NFL is ""getting massive tax breaks.""",4
"The Obama administration ""borrowed more than $10 trillion, right? And yet, we picked up $5.2 trillion just in the stock market. ... Maybe in a sense we’re reducing debt.""",1
"A Homeland Security study ""showed 120 murders took place that could have been prevented had communities been working with ICE and Homeland Security.""",1
"A viral image shows LeBron James wearing a T-shirt that reads, ""We march, y’all mad. We sit down, y’all mad. We speak up, y’all mad. We die, y’all silent.""",1
"Says a proposed $1.05 billion Austin school district bond proposition ""will require no tax rate increase.""",4
"""Bob Corker gave us the Iran Deal.""",1
"""One in 10 babies born in this country is born in Texas.""",5
"""Under his leadership, Tallahassee reduced its carbon intensity by roughly 40 percent.""",1
"""Background checks have been unequivocally shown to reduce gun violence.""",3
"""Grandparents must pickup up all their grandchildren every weekend no matter what or they will be fined $5,000.""",0
"""Loopholes in current law prevent ’Unaccompanied Alien Children’ (UACs) that arrive in the country illegally from being removed.""",2
"""President Trump signs executive order stripping NFL of ’non-profit’ status.""",0
"""Jason Aldean gig canceled after he sells out to liberals on ’SNL’.""",0
"""There have been more than 270 mass shootings in the United States in the last year alone. That’s where four or more are killed.""",1
"""I personally am pro-choice. I always have been. And I made no qualms about that when I was elected governor.""",5
"Says Winston Churchill said, ""A lie gets halfway around the world before the truth has a chance to get its pants on.""",1
"Trump’s tax plan is ""completely focused on the wealthy and the powerful - not the middle class.""",1
"Says Sen. Dianne Feinstein said ""if she had 51 votes in the Senate for ’Mr. and Ms. America, turn in all of your guns,’ they would do it.""",1
"""The Obama administration approved the sale of bump fire stocks on at least two occasions.""",4
"""The Republicans are proposing to pay for their giant tax cut to the rich by gutting Medicare and Medicaid.""",3
"In Wisconsin, ""we have a bill that would allow hidden, deadly weapons -- every single person to carry one -- no training, no background check, even around schools.""",4
"""White men have committed more mass shootings than any other group.""",4
"""It’s time to remove any statue of Margaret Sanger who was a white suprematist (sic), spoke at kkk events & supported by democrats. #prolife""",2
"North Carolina has ""the strictest anti-gerrymandering standards in the entire country.""",1
"Says the Dickey Amendment ""prevents the Centers for Disease Control and Prevention from even researching the relationship between gun violence and public health. ... The government can’t study gun violence but is spending $400,000 analyzing the effects of Swedish massages on rabbits.""",4
"""In 2017, I’ve done 17 town halls.""",3
"""Celine Dion’s 16-year-old Rene-Charles Angelil’s was among the 58 victims who were killed"" in Las Vegas.",0
"Says that under the Obamacare law, health insurance ""premiums have increased by more than 105 percent since"" 2013.",4
"The Las Vegas shooting was the ""273rd mass shooting"" in the United States so far in 2017.",3
"""The crowd (in Las Vegas) fled at the sound of gunshots. Imagine the deaths if the shooter had a silencer ...""",1
"Bryan County, Ga., has ""corrupted voter rolls.""",1
"""Black Americans still earn less than 73 percent of what white men make.""",3
"Says ""the Kardashians donate whopping sum to Las Vegas mass shooting victims""",0
A flight crew took a knee and stranded the New Orleans Saints on an airport runway.,0
"""I think if you look to Chicago, where you had over 4,000 victims of gun-related crimes last year, they have the strictest gun laws in the country. That certainly hasn’t helped there.""",0
"""San Juan Teamsters didn’t show up for work to distribute relief supplies"" because they went on strike.",0
"""Las Vegas shooting witnesses report multiple gunmen dressed as security guards.""",0
"90 percent of Americans ""support universal background checks"" for gun purchases.",5
"In the Alabama Senate runoff, ""the candidate I endorsed (Luther Strange) went up MANY points after endorsement!""",2
Said there is cholera in Puerto Rico after Hurricane Maria.,1
"""The First Amendment’s the First Amendment. It goes start to finish. We can’t say to one football coach you’re fired if you kneel in silent prayer at the end of the game, but to a player, if you kneel in protest to a game, you’re celebrated.""",3
"""The soda tax can make a difference by reducing consumption of unhealthy soda pop and sugary beverages.""",4
"Some states hit hardest by opioid deaths ""have more opioid prescriptions than residents.""",5
"California Lt. Gov. Gavin Newsom was ""for (high-speed rail), before he’s against it, and then he’s for it again.""",4
Says a photograph shows Seattle Seahawks player Michael Bennett burning the United States flag.,0
"""The average tax bill for Americans in 2016 was a 41 percent increase from 2013.""",3
"While Mayor Rick Kriseman said he would dip into reserves this year because of Hurricane Irma, he ""went into the emergency reserves before Irma ever hit.""",5
"""California, New York and Massachusetts, they represent about 20 percent of the population, they get close to 36 percent of Obamacare funding. It’s just simply inequitable.""",2
"New York has ""the biggest outmigration of citizens of any state.""",4
"""We’re the only developed nation in the world that doesn’t have paid maternity leave.""",4
"Says ""No, I don’t benefit, I don’t benefit"" from his tax proposal.",1
"""Human meat found in McDonald’s meat factory""",0
"Ending the estate tax would ""protect millions of small businesses and the American farmer.""",0
"""We have one senator who’s a ’yes’ vote ... but he’s in the hospital. And he’s a ’yes’ vote. So we can’t do it by Friday. So we have the votes"" to pass a health care bill.",1
"""The current city mayor (Kasim Reed) has been virtually absent in terms of regional cooperation the last eight years.""",2
"""Washington State Legislature votes to change its name because George Washington owned Slaves.""",0
"""Since 2010, Republicans have won unaffiliated voters in every general election.""",4
"""So now they take drugs, literally, and they throw it, a hundred pounds of drugs. They throw it over the wall, they have catapults, but they throw it over the wall, and it lands and it hits somebody on the head.""",4
"North Korea is ""the fifth or fourth most sanctioned nation.""",4
"""Missouri Votes to Let Employers Fire People Who Use Birth Control.""",0
"""The bill that I carried cutting MO’s income tax for 1st time in over 100 years will start its 1st phase in jan 1 2018. #moleg @Eric_Schmitt""",4
"""If you pass the so-called Dream Act, it will be the single biggest amnesty in the history of the United States, even bigger than the 1986 amnesty.""",2
"""12 more hurricanes headed towards U.S.""",0
"Florida’s coastal and stormwater infrastructure are ""two of the most critical areas during a storm, and received D-plus and D ratings, respectively, by the American Society of Civil Engineers in 2016.""",5
"""NFL fines Pittsburgh Steelers $1 million each for skipping national anthem.""",0
"""Fox Sports cancels all NFL broadcasts ’until players respect the flag.’ """,0
"""NFL attendance and ratings are WAY DOWN. Boring games yes, but many stay away because they love our country.""",2
"DACA was ""a mere memo from the Department of Homeland security under Barack Obama, which violated the laws.""",3
"Alabama is ""the most generous state in the union in terms of what we give to charities.""",3
"The GOP’s health bill will protect people with pre-existing conditions ""every bit as well as Obamacare did.""",1
"""Roy Moore fought for pay increases for politicians while courts had to shut down because of lack of funding.""",1
"""Republicans want to restore #gunrights to felons""",4
"The Graham-Cassidy health care bill does ""include coverage of pre-existing conditions.""",2
"""Thomas Jefferson said, ’Government that governs least governs best.’ """,1
"Says ""Carnival Cruise Lines will now offer free cruises"" to hurricane victims.",0
"""Since we took office, we have been outpacing the nation in job growth.""",3
"Says Ted Cruz is the ""same senator who once supported a ban on sex toys.""",2
"""Ronald Reagan was a verified Democrat until his mid-50s.""",5
"Says the Austin metro region ""will lead"" the nation ""with population growth over 50%"" over the next 30 years.",4
"Under the Graham-Cassidy health insurance bill, in ""states like Maine, Virginia, Florida, Missouri, there will be billions more dollars to provide health insurance coverage for those in those states who have been passed by by Obamacare.""",2
"""Private insurance companies in this country spend between 12 and 18 percent on administration costs. The cost of administering the Medicare program, a very popular program that works well for our seniors, is 2 percent. We can save approximately $500 billion a year just in administration costs.""",3
"North Carolina is home to ""two rivers of the top five most polluted rivers"" in the U.S.",1
"""House Dems introduce bill to remove citizenship requirement from presidency.""",0
"""Companies are moving back, creating job growth the likes of which our country has not seen in a very long time.""",3
"""Even with a permanent income tax increase... the budget is more than $1 billion out of balance¦""",4
"Vermont had to ""scrap"" its single-payer health insurance program because it was ""going bankrupt.""",1
"""Seventy-six percent of the American people support us passing the DREAM Act ¦ with citizenship and legalization as part of it all. ¦ More than 60 percent of Republicans support that.""",5
"""Susan Rice arrested for criminal ’unmasking’ of Trump officials.""",0
"""U.S. comedian Kevin Hart in critical condition after gory car crash.""",0
"""Long gas lines forming in North Korea.""",3
"Says PolitiFact reported that ""95 percent of what (Donald Trump) says is a lie.""",1
"Says ""92 percent of the people agree on DACA.""",3
"Says U.S. Treasury Secretary Steven Mnuchin ""wants to use a government jet that costs $25,000 per hour for his honeymoon.""",4
"""African Americans in Missouri are 75 percent more likely to be stopped and searched by law enforcement officers than caucasians.""",3
"Says Roy Moore is ""on the wrong side of Trump’s border wall.""",2
"Democrats ""setup"" and ""manipulated"" the political violence in Charlottesville",0
"""Mass voter fraud just discovered, to the amount that could void Hillary’s victory In New Hampshire.""",1
"""Facts have come to light that indicate that a pivotal, close election was likely changed through voter fraud on November 8, 2016: New Hampshire’s U.S. Senate Seat, and perhaps also New Hampshire’s four Electoral College votes in the presidential election.""",1
"San Francisco and Takoma Park, Md., are ""allowing illegals to vote.""",3
"""Calling for the assassination of the president is a federal crime.""",3
"""Nearly 2/3 of rural Missourians don’t have access to broadband. That needs to change.""",5
"""President Obama used"" his DACA order ""to unilaterally confer U.S. citizenship.""",0
"""So the number on DACA is 800,000, but every one person can bring in their entire extended family once they reach a certain status. So it’s 3 or 4 million, right?""",1
"""We’ve got about $3 trillion in trapped cash overseas that basically can’t come back in this country because of our tax laws.""",4
"Says ""the latest polls show us tied neck-and-neck"" with Sen. Ted Cruz.",3
"The mobilization of the military in response to the storms in Puerto Rico and the U.S. Virgin Islands ""is the largest ever mobilization of our military in a naval and marine operation"" and an Air Force carrier there ""was the first-ever as well.""",2
"""Since I’ve been the state treasurer, we’ve increased the building, construction of affordable housing by 80 percent.""",3
"Wisconsin is ""guaranteeing Foxconn almost $3 billion, but Foxconn is not contractually guaranteeing how many full-time employees it will hire, for how long and at what pay.""",3
"""Muslims’ disturbing plan comes out after grocery stores go bare to prepare for Irma.""",2
"The new Illinois school funding formula ""created a tax shelter for the wealthy and a voucher program¦""",3
"""Paul Ryan doesn’t know what the minimum wage is in Wisconsin.""",2
"""Florida Governor Rick Scott now listed as ’critical’ after bizarre hurricane cleanup accident.""",0
"""Georgia mosque keeps Hurricane Harvey donations, will send to Syrian refugees instead""",0
"""Mar-A-Lago (was) destroyed by (Hurricane) Irma (and) Jared Kushner (is) still missing.""",0
"""The Affordable Care Act is the single largest tax increase in my lifetime.""",1
"""No court has held (Deferred Action for Childhood Arrivals) unconstitutional.""",5
"""The governor’s cuts would kick over 8,000 people out of their homes.""",2
"""Just in our first six months in office, Missouri moved up the rankings nine places ... of the best states to do business.""",3
"Rescinding the Deferred Action for Childhood Arrivals program ""will harm our economy.""",5
"""Schools in Austin Independent School District are teaching children as young as 4 years old that their gender is fluid “ that they’re not a boy or a girl and they can choose whichever gender they want.""",2
"Sen. Kirsten Gillibrand ""no longer supports the fight to combat the international delegitimization of Israel.""",1
"""President (Ronald) Reagan did a similar thing. George H.W. Bush did a similar order"" as former President Barack Obama’s Deferred Action for Childhood Arrivals, or DACA.",4
"""30,000 scientists have come forward confirming that man-made climate change is a hoax perpetuated by the elite in order to make money.""",0
"""30,000 scientists have come forward confirming that man-made climate change is a hoax perpetuated by the elite in order to make money.""",0
"Says Tony Evers ""allowed a middle-school teacher found guilty of spreading pornographic material at school to keep teaching students.""",2
"""Computer models show Irma destroying New York City on Sept. 10.""",0
"""We’re still doing dumb things like telling the parent of an 11-year-old that it’s against the law for them to tell their parents what they were tested on ... That will end when I’m governor.""",2
"""We have over a million (legal immigrants) a year, more than at any time in the history of this country. We have the largest percentage of immigrants, almost tied now with the historical high as a percentage of immigrants living in this country.""",3
"Says a poll showed 70 percent to 75 percent of people want to see Confederate statues ""remain up and not taken down.""",3
"The Clinton Foundation is sending water to Houston ""for $7 a bottle.""",0
"Says Barack Obama, Chuck Schumer and Hillary Clinton ""all voted for"" a border wall as senators.",3
"""Hurricane Irma could be a Category 6 by the time it hits East Coast.""",0
Says Lady Gaga was arrested after a confrontation with First Lady Melania Trump.,0
"""In 1986, President Ronald Reagan"" cut the business tax rate to 34 percent and ""it worked -- our economy boomed, the middle class thrived and median family income increased.""",2
"""We’re flying 1987 planes with 1987 technology.""",3
"Says President Barack Obama’s policy known as DACA ""contributed to a surge of minors at the southern border.""",2
"In addition to his compensation as a judge, ""Roy Moore and his wife (paid themselves) over $1 million from a charity they ran.""",4
"""My grandparents were proud immigrants to the United States of America, here to Illinois in the late 1800s. My grandparents did not speak English when they were young.""",0
"Hurricane Irma is ""predicted to come through Mexico, hit us and everything in between up to Houston.""",0
"""Navy destroyer strikes a building in downtown Houston.""",0
"Says Manny Pacquiao, Usain Bolt and Princes William and Harry have donated tens of millions of dollars to Hurricane Harvey victims.",0
"""It is shocking to me that Police Commissioner Richard Ross and Mayor Jim Kenney allowed this illegal occupation to go on for hours without taking any action to enforce the law¦""",1
"Says Aaron Rodgers ""is not the highest tax rate payer"" in Wisconsin, it’s ""the single mom getting 24 grand in benefits with two kids who will lose 80 cents on the dollar if she goes and takes a job.""",2
"Says video shows Mike Pence quoting the Bible as justification for ""Congress not to fund Katrina relief effort.""",0
"""We stopped traffic coming through -- 78 percent.""",1
"""Two-thirds of the (Hurricane Sandy relief) bill had nothing to do with Sandy.""",2
"""Floyd Mayweather Jr. donates a whopping sum of money to Houston after hurricane.""",0
"""Our conservative Georgia values are under attack"" ... (People) are ""calling for the removal of George Washington and Thomas Jefferson statues.""",3
"""As of 2014, illegal aliens made up roughly 3.5 percent of our population, and committed over 10 percent of all murders.""",2
"Says former President Barack Obama ""pardoned a traitor who gave U.S. enemies state secrets, he also pardoned a terrorist who killed Americans.""",2
"Under Scott Walker, Wisconsin is ""still 16,000 manufacturing jobs lower than we were during the recession.""",4
Photo shows severe flooding at a Houston airport.,0
"Says Adam Sandler said ""Mormons are some of the most decent people I’ve ever come across.""",1
"""I think what the authors of the (25th) Amendment principally had in mind was some kind of physical incapacitation or serious mental illness or a breakdown, an inability to function in office.""",5
"Says Marco Rubio took ""three quarters of a million dollars from fossil fuel executives"" during the 2016 Senate election.",3
"Says his conviction is ""a political witch hunt by holdovers in the Obama justice department.""",1
Photo shows a shark swimming on a freeway in Houston.,0
"""President (Donald) Trump pardons Kim Davis.""",0
"""Obama is in Texas serving meals!""",0
"Public schools, colleges and state-funded day care centers ""will be made into sanctuaries by Bruce Rauner signing SB 31.""",1
"""I’m the only candidate who has not accepted money from Carl Paladino nor LPCiminelli; two of the biggest developers in the city of Buffalo.""",5
"Says Foxconn didn’t keep a promise to build a plant in Pennsylvania because ""Pennsylvania changed governors.""",2
Says Rick Kriseman is $35 million over budget on St. Petersburg’s new police station.,1
"Says Kelli Ward hosted a town hall on ""chemtrail conspiracy theories"" and is open to sponsoring chemtrails legislation.",2
"Says the Joker’s ""Red Hood"" origin story is ""the true one.""",2
"""We’ve got dozens of counties around America that have zero insurers left.""",0
"""We’ve got a police station that’s under construction right now, they are actually ahead of schedule and under budget.""",2
"""At the PEAK of slavery in 1860, only 1.4% of Americans owned slaves. What your history books (don’t) tell you is that 3,000 blacks owned a total of 20,000 slaves the same year.""",1
"""Austin is the safest big city in Texas.""",3
"""We have become an energy exporter for the first time ever just recently.""",1
"""No president in history has imposed larger personal lifestyle costs on the taxpayer than Donald Trump.""",2
"""There aren’t too many people outside protesting"" his speech at the Phoenix Convention Center.",1
"Says ""Barcelona terrorist"" is cousins with former President Barack Obama.",0
"""Rosa Parks’ daughter praises (President Donald) Trump’s response to Charlottesville.""",0
"""Most people on Medicaid are kids, or seniors, or the disabled.""",4
"""We took Wisconsin from the Bottom 10 for business to the Top 10.""",2
"""Crime has been getting worse since Jerry Brown was elected governor.""",2
"Gov. Roy Cooper has ""filed nearly one lawsuit a month, with every single one of them an attempt to extend his own power.""",2
"Says Sen. Jon Tester ""believes that we should have a national registration so that the people of Montana should have to ask permission before they purchase a gun, ask permission from the federal government.""",0
"""White supremacist who killed protester is a Democrat and visited (President Barack) Obama in Oval Office.""",0
"""(For) white working-class America, death rates among white men are up 20 percent.""",2
Says there is proof Democrats hired actors to plan violence in Charlottesville.,1
"Says he ""made St. Petersburg the state’s best maintained large sewer system in 2007.""",3
"""Ted Kaczynski has less restrictive confinement than the youth at Lincoln Hills.""",4
"""70 million Americans have a criminal record  -  that’s one in three adults.""",3
"White nationalist protesters in Charlottesville ""had a permit. The other group didn’t have a permit.""",0
"""The United States ended slavery around the world, and maybe we should get some credit for that, too.""",0
"""Study what General Pershing of the United States did to terrorists when caught. There was no more Radical Islamic Terror for 35 years!""",0
"Says Sen. Bill Nelson ""has aligned himself with communists and dictators,"" ""went to Venezuela to admire ChÃ¡vez’s revolution"" and ""supports murderers.""",0
"Wages ""haven’t gone up for a long time.""",1
"""There are communities under Sharia law right now in our country. Up in Illinois. ... There’s Sharia law, as I understand it, in Illinois, Indiana -- up there. I don’t know.""",0
"House Bill 330 ""grants immunity from liability to motorists who strike protesters.""",2
"""Whoopi Goldberg humiliated, handcuffed and dragged out of the TV studio.""",0
"""Foxconn tax break could exceed $1 million per job.""",3
"Chicago city officials ""have adopted an official policy of protecting criminal aliens who prey on their own residents.""",1
"""The idea of putting up (Confederate) monuments actually didn’t happen right after the Civil War. It happened during the 1960s.""",2
